pfct_sn,pfct_nm,addr,instl_ymd,instl_place_cd_nm,prvt_pblc_yn_cd_nm,idrodr_cd_nm,incld_water,updated_date
6094,수완현진에버빌2단지-2 (210동앞),"광주광역시 광산구 풍영로169번길 46 (장덕동, 광주 수완 현진에버빌 2단지)",2009-01-01,도시공원,공공,실외,미포함,2024-02-16
6096,송정근린공원 놀이터,광주광역시 광산구 송정공원로 8-23 (소촌동) 송정근린공원,2001-12-31,주택단지,민간,실외,미포함,2024-02-16
6097,산정근린공원 놀이터,광주광역시 광산구 산정공원로 27-5 (월곡동),1990-06-30,주택단지,민간,실외,미포함,2024-02-16
6098,신가 어린이공원 놀이터,광주광역시 광산구 신가동 963-5,1999-12-06,주택단지,민간,실외,미포함,2024-02-16
6100,맑은샘 어린이공원 놀이터,광주광역시 광산구 풍영로 63 (월곡동),2003-05-16,주택단지,민간,실외,미포함,2024-02-16
6101,목련무지개 어린이공원 놀이터,광주광역시 광산구 운남동 782-2,2001-12-31,주택단지,민간,실외,미포함,2024-02-16
6102,기쁨 어린이공원 놀이터,광주광역시 광산구 월곡동 702-1,2001-12-31,주택단지,민간,실외,미포함,2024-02-16
6103,첨단강변 어린이공원 놀이터,광주광역시 광산구 산월동 883-3,2004-12-23,주택단지,민간,실외,미포함,2024-02-16
6108,낙원어린이집 놀이터,광주광역시 광산구 목련로382번안길 53 (신가동),1994-02-02,주택단지,민간,실외,미포함,2024-02-16
6109,평동어린이집 놀이시설,광주광역시 광산구 평지안길 9-11 (지정동),2014-03-26,주택단지,민간,실외,포함,2024-02-16
